timestamp_sec_floor,timestamp,/electrical/temp_sensors/in.inlet_temp,/electrical/temp_sensors/out.outlet_temp
1761090075,10/21/25 | 07:41:15 PM,,19.510000228881836
1761090391,10/21/25 | 07:46:31 PM,,19.8799991607666
1761090392,10/21/25 | 07:46:32 PM,,19.489999771118164
1761090393,10/21/25 | 07:46:33 PM,,19.770000457763672
1761090394,10/21/25 | 07:46:34 PM,,19.920000076293945
1761090395,10/21/25 | 07:46:35 PM,,19.860000610351562
1761090396,10/21/25 | 07:46:36 PM,,19.860000610351562
1761090397,10/21/25 | 07:46:37 PM,,19.530000686645508
1761090398,10/21/25 | 07:46:38 PM,,19.790000915527344
1761090399,10/21/25 | 07:46:39 PM,,19.440000534057617
1761090400,10/21/25 | 07:46:40 PM,,19.729999542236328
1761090401,10/21/25 | 07:46:41 PM,,19.84000015258789
1761090402,10/21/25 | 07:46:42 PM,,19.530000686645508
1761090403,10/21/25 | 07:46:43 PM,,19.68000030517578
1761090404,10/21/25 | 07:46:44 PM,,19.729999542236328
1761090405,10/21/25 | 07:46:45 PM,,19.729999542236328
1761090406,10/21/25 | 07:46:46 PM,,19.729999542236328
1761090407,10/21/25 | 07:46:47 PM,,19.75
1761090408,10/21/25 | 07:46:48 PM,,19.530000686645508
1761090409,10/21/25 | 07:46:49 PM,,19.530000686645508
1761090410,10/21/25 | 07:46:50 PM,,19.969999313354492
1761090411,10/21/25 | 07:46:51 PM,,19.84000015258789
1761090412,10/21/25 | 07:46:52 PM,,19.729999542236328
1761090413,10/21/25 | 07:46:53 PM,,19.729999542236328
1761090414,10/21/25 | 07:46:54 PM,,19.75
1761090415,10/21/25 | 07:46:55 PM,,19.530000686645508
1761090416,10/21/25 | 07:46:56 PM,,19.770000457763672
1761090417,10/21/25 | 07:46:57 PM,,19.75
1761090418,10/21/25 | 07:46:58 PM,,19.59000015258789
1761090419,10/21/25 | 07:46:59 PM,,19.770000457763672
1761090420,10/21/25 | 07:47:00 PM,,19.75
1761090421,10/21/25 | 07:47:01 PM,,19.459999084472656
1761090422,10/21/25 | 07:47:02 PM,,20.049999237060547
1761090423,10/21/25 | 07:47:03 PM,,19.729999542236328
1761090424,10/21/25 | 07:47:04 PM,,15.5
1761090425,10/21/25 | 07:47:05 PM,,19.700000762939453
1761090426,10/21/25 | 07:47:06 PM,,20.489999771118164
1761090427,10/21/25 | 07:47:07 PM,,18.540000915527344
1761090428,10/21/25 | 07:47:08 PM,,19.3799991607666
1761090429,10/21/25 | 07:47:09 PM,,16.020000457763672
1761090430,10/21/25 | 07:47:10 PM,,19.700000762939453
1761090431,10/21/25 | 07:47:11 PM,,18.700000762939453
1761090432,10/21/25 | 07:47:12 PM,,18.260000228881836
1761090433,10/21/25 | 07:47:13 PM,,18.649999618530273
1761090434,10/21/25 | 07:47:14 PM,,19.75
1761090435,10/21/25 | 07:47:15 PM,,19.6200008392334
1761090436,10/21/25 | 07:47:16 PM,,19.700000762939453
1761090437,10/21/25 | 07:47:17 PM,,20.399999618530273
1761090438,10/21/25 | 07:47:18 PM,,20.190000534057617
1761090439,10/21/25 | 07:47:19 PM,,20.43000030517578
1761090440,10/21/25 | 07:47:20 PM,,20.43000030517578
1761090441,10/21/25 | 07:47:21 PM,,20.079999923706055
1761090442,10/21/25 | 07:47:22 PM,,19.68000030517578
1761090443,10/21/25 | 07:47:23 PM,,19.729999542236328
1761090444,10/21/25 | 07:47:24 PM,,19.700000762939453
1761090445,10/21/25 | 07:47:25 PM,,20.010000228881836
1761090446,10/21/25 | 07:47:26 PM,,18.6299991607666
1761090447,10/21/25 | 07:47:27 PM,,19.639999389648438
1761090448,10/21/25 | 07:47:28 PM,,19.729999542236328
1761090449,10/21/25 | 07:47:29 PM,,19.68000030517578
1761090450,10/21/25 | 07:47:30 PM,,19.68000030517578
1761090451,10/21/25 | 07:47:31 PM,,20.469999313354492
1761090452,10/21/25 | 07:47:32 PM,,19.729999542236328
1761090453,10/21/25 | 07:47:33 PM,,19.8799991607666
1761090454,10/21/25 | 07:47:34 PM,,20.43000030517578
1761090455,10/21/25 | 07:47:35 PM,,20.90999984741211
1761090456,10/21/25 | 07:47:36 PM,,20.229999542236328
1761090457,10/21/25 | 07:47:37 PM,,20.559999465942383
1761090458,10/21/25 | 07:47:38 PM,,20.360000610351562
1761090459,10/21/25 | 07:47:39 PM,,20.3799991607666
1761090460,10/21/25 | 07:47:40 PM,,21.020000457763672
1761090461,10/21/25 | 07:47:41 PM,,22.90999984741211
1761090462,10/21/25 | 07:47:42 PM,,19.56999969482422
1761090463,10/21/25 | 07:47:43 PM,,20.190000534057617
1761090464,10/21/25 | 07:47:44 PM,,18.020000457763672
1761090465,10/21/25 | 07:47:45 PM,,17.649999618530273
1761090466,10/21/25 | 07:47:46 PM,,19.729999542236328
1761090467,10/21/25 | 07:47:47 PM,,20.690000534057617
1761090468,10/21/25 | 07:47:48 PM,,19.030000686645508
1761090469,10/21/25 | 07:47:49 PM,,19.729999542236328
1761090470,10/21/25 | 07:47:50 PM,,19.940000534057617
1761090471,10/21/25 | 07:47:51 PM,,20.75
1761090472,10/21/25 | 07:47:52 PM,,19.510000228881836
1761090473,10/21/25 | 07:47:53 PM,,19.700000762939453
1761090474,10/21/25 | 07:47:54 PM,,19.65999984741211
1761090475,10/21/25 | 07:47:55 PM,,18.739999771118164
1761090476,10/21/25 | 07:47:56 PM,,21.149999618530273
1761090477,10/21/25 | 07:47:57 PM,,19.729999542236328
